model,direction,count,valid_outcome_count,skipped_outcome_count,long_count,short_count,avg_mfe_r,median_mfe_r,avg_mae_r,median_mae_r,hit_0_5r_rate,hit_1r_rate,hit_2r_rate,invalidation_rate,hit_1r_before_invalidation_rate,hit_2r_before_invalidation_rate,avg_score,best_symbol,best_timeframe
Entry Model 1,long,268,254,14,268,0,2.104296,1.254884,1.639151,0.838474,0.755906,0.57874,0.377953,0.485075,0.492126,0.318898,4.126866,ETHUSDT,30m
Entry Model 1,short,56,54,2,0,56,2.913488,1.18081,4.319921,0.918485,0.759259,0.574074,0.444444,0.464286,0.481481,0.37037,3.696429,ETHUSDT,1h
Entry Model 2,long,297,262,35,297,0,2.700117,1.563237,2.050167,0.995392,0.839695,0.656489,0.408397,0.558923,0.522901,0.316794,4.350168,SOLUSDT,30m
Entry Model 2,short,45,44,1,0,45,2.311773,1.354475,2.222516,0.951867,0.772727,0.568182,0.272727,0.444444,0.477273,0.25,4.0,ETHUSDT,4h
Entry Model 3,long,34,30,4,34,0,9.602485,5.721591,11.961628,9.109945,0.8,0.766667,0.666667,0.823529,0.5,0.466667,4.323529,BTCUSDT,1h
Entry Model 3,short,4,4,0,0,4,3.554019,2.614644,7.06279,3.205792,1.0,1.0,0.5,1.0,0.75,0.5,3.75,ETHUSDT,4h
