model,symbol,count,valid_outcome_count,skipped_outcome_count,long_count,short_count,avg_mfe_r,median_mfe_r,avg_mae_r,median_mae_r,hit_0_5r_rate,hit_1r_rate,hit_2r_rate,invalidation_rate,hit_1r_before_invalidation_rate,hit_2r_before_invalidation_rate,avg_score,best_symbol,best_timeframe
Entry Model 1,BTCUSDT,101,97,4,84,17,1.932751,1.116281,2.067552,0.90743,0.752577,0.546392,0.350515,0.49505,0.484536,0.298969,4.257426,BTCUSDT,30m
Entry Model 1,ETHUSDT,118,109,9,79,39,2.957593,1.566993,2.704155,0.830667,0.761468,0.633028,0.458716,0.466102,0.53211,0.394495,3.974576,ETHUSDT,1h
Entry Model 1,SOLUSDT,105,102,3,105,0,1.783971,1.184916,1.51289,0.761083,0.754902,0.54902,0.352941,0.485714,0.45098,0.284314,3.942857,SOLUSDT,15m
Entry Model 2,BTCUSDT,103,95,8,90,13,2.485078,1.609962,2.53783,1.033884,0.831579,0.621053,0.410526,0.553398,0.494737,0.347368,4.485437,BTCUSDT,4h
Entry Model 2,ETHUSDT,121,107,14,89,32,2.522484,1.359223,1.936632,1.309878,0.803738,0.654206,0.336449,0.570248,0.542056,0.261682,4.198347,ETHUSDT,30m
Entry Model 2,SOLUSDT,118,104,14,118,0,2.915005,1.524155,1.794433,0.778149,0.855769,0.653846,0.423077,0.508475,0.509615,0.317308,4.254237,SOLUSDT,30m
Entry Model 3,BTCUSDT,25,22,3,23,2,11.348222,6.124485,9.059216,6.331803,0.863636,0.818182,0.636364,0.8,0.545455,0.5,4.2,BTCUSDT,1h
Entry Model 3,ETHUSDT,5,5,0,3,2,5.41077,5.408501,12.7114,12.060092,1.0,1.0,1.0,1.0,0.6,0.6,4.2,ETHUSDT,30m
Entry Model 3,SOLUSDT,8,7,1,8,0,3.653698,1.333333,17.748608,16.666667,0.571429,0.571429,0.428571,0.875,0.428571,0.285714,4.5,SOLUSDT,4h
