time,open,high,low,close,volume
1774456200000,72.72,72.93,72.65,72.73,243618.308
1774458000000,72.72,72.77,72.32,72.53,387188.011
1774459800000,72.53,72.73,72.39,72.44,256658.505
1774461600000,72.44,72.78,72.17,72.25,417383.984
1774463400000,72.26,72.37,71.76,72.05,322419.779
1774465200000,72.04,72.05,71.31,71.58,606619.039
1774467000000,71.58,72.08,71.58,72.07,260112.396
1774468800000,72.07,72.23,71.56,71.63,255915.364
1774470600000,71.64,71.65,71.02,71.34,392172.015
1774472400000,71.34,71.39,71.24,71.34,81133.827
1774474200000,71.33,71.48,71.3,71.45,58061.154
1774476000000,71.45,71.8,71.05,71.25,385049.327
1774477800000,71.26,71.63,71.05,71.17,320202.567
1774479600000,71.18,71.23,70.5,70.71,546538.439
1774481400000,70.72,70.88,70.43,70.7,400011.162
1774483200000,70.69,71.99,70.66,71.67,762290.06
1774485000000,71.67,72.03,71.56,71.96,458617.705
1774486800000,71.96,72.14,71.2,71.53,1157431.48
1774488600000,71.53,71.93,71.39,71.88,648899.207
1774490400000,71.88,72.21,71.7,71.77,639958.838
1774492200000,71.77,72.01,71.18,71.34,630794.871
1774494000000,71.34,71.62,71.22,71.48,423230.754
1774495800000,71.47,71.88,71.46,71.74,254056.772
1774497600000,71.75,72.0,71.59,71.96,206488.077
1774499400000,71.97,71.99,71.71,71.76,168602.546
1774501200000,71.76,71.82,70.6,70.73,698833.217
1774503000000,70.74,71.01,69.39,69.41,1449531.998
1774504800000,69.41,69.94,69.04,69.88,1598058.501
1774506600000,69.89,70.08,69.44,69.97,836757.946
1774508400000,69.98,70.05,69.12,69.52,945593.115
1774510200000,69.52,69.82,69.37,69.4,556137.257
1774512000000,69.4,69.63,68.29,68.38,1370626.15
1774513800000,68.38,68.7,67.8,68.26,1501496.04
1774515600000,68.26,68.32,67.86,68.03,1022706.281
1774517400000,68.02,68.1,67.66,68.07,925202.597
1774519200000,68.08,68.49,67.96,68.35,621330.156
1774521000000,68.36,68.54,67.76,68.15,829579.469
1774522800000,68.15,68.43,67.8,68.02,594503.961
1774524600000,68.02,68.32,66.98,67.35,1404024.156
1774526400000,67.36,68.14,67.16,67.82,957864.266
1774528200000,67.82,67.9,67.46,67.53,834607.413
1774530000000,67.52,68.79,67.4,68.65,1423674.472
1774531800000,68.64,69.36,68.27,69.27,1660181.481
1774533600000,69.28,69.59,68.76,69.32,1025878.767
1774535400000,69.32,69.76,68.63,69.17,1326482.874
1774537200000,69.18,69.36,68.86,68.97,922258.329
1774539000000,68.96,68.99,68.4,68.56,876294.596
1774540800000,68.55,68.66,67.28,67.66,1296189.493
1774542600000,67.66,68.02,67.18,67.81,1141621.788
1774544400000,67.82,68.19,67.66,67.77,993710.372
1774546200000,67.78,67.9,67.25,67.38,793720.84
1774548000000,67.38,67.61,66.8,67.04,1242102.881
1774549800000,67.05,67.78,67.01,67.69,632250.043
1774551600000,67.69,67.85,67.31,67.5,534924.159
1774553400000,67.51,67.84,67.05,67.25,595581.493
1774555200000,67.25,69.08,67.1,68.53,2623255.947
1774557000000,68.53,68.82,67.97,68.1,455953.689
1774558800000,68.11,68.37,68.1,68.33,150088.083
1774560600000,68.32,68.37,68.16,68.23,75296.009
1774562400000,68.23,68.73,68.15,68.6,557949.573
1774564200000,68.6,69.08,68.53,68.95,315378.19
1774566000000,68.94,69.06,68.41,68.61,426961.779
1774567800000,68.61,69.02,68.55,68.7,484905.595
1774569600000,68.71,69.14,68.12,68.3,766008.278
1774571400000,68.31,68.48,67.43,67.59,806708.649
1774573200000,67.59,68.43,67.48,68.41,824812.367
1774575000000,68.42,68.76,68.34,68.68,415714.794
1774576800000,68.68,69.12,68.66,68.93,510313.073
1774578600000,68.93,69.01,68.56,68.66,362227.113
1774580400000,68.65,69.43,68.41,69.24,469050.413
1774582200000,69.23,69.63,69.16,69.4,792002.566
1774584000000,69.4,69.45,69.19,69.29,271947.241
1774585800000,69.3,69.79,69.29,69.68,360686.553
1774587600000,69.68,69.86,69.53,69.64,416741.534
1774589400000,69.64,70.42,69.56,69.57,1004588.053
1774591200000,69.57,70.02,69.41,69.91,618066.91
1774593000000,69.92,70.17,69.62,69.85,488160.652
1774594800000,69.84,69.9,69.49,69.76,411411.787
1774596600000,69.75,69.82,69.53,69.58,427547.607
1774598400000,69.57,69.63,68.95,68.99,930641.799
1774600200000,68.99,69.16,68.75,68.75,785674.513
1774602000000,68.75,69.04,68.58,68.98,778385.354
1774603800000,68.99,69.13,68.57,68.62,335162.406
1774605600000,68.62,68.89,68.58,68.76,368763.578
1774607400000,68.75,68.78,68.09,68.14,672366.617
1774609200000,68.15,68.31,67.88,68.3,816745.317
1774611000000,68.31,68.36,67.7,67.84,730841.017
1774612800000,67.83,68.09,67.52,68.0,907693.695
1774614600000,68.01,68.18,67.83,68.03,573993.723
1774616400000,68.03,68.38,67.56,67.92,1347068.56
1774618200000,67.92,68.57,67.66,67.99,1327028.072
1774620000000,67.98,69.01,67.95,68.69,1191908.729
1774621800000,68.69,70.63,68.58,70.4,1675963.698
1774623600000,70.41,71.65,70.25,71.27,2360685.071
1774625400000,71.27,71.45,70.8,70.83,1114453.894
1774627200000,70.84,70.99,70.51,70.71,834641.031
1774629000000,70.72,70.74,70.18,70.4,824823.53
1774630800000,70.4,70.53,69.51,69.7,811854.625
1774632600000,69.7,69.83,69.47,69.59,486940.803
1774634400000,69.59,70.27,69.59,70.21,740871.756
1774636200000,70.21,70.63,70.2,70.28,359315.996
1774638000000,70.27,70.48,69.85,70.4,468162.425
1774639800000,70.41,70.52,69.69,70.07,519974.033
1774641600000,70.08,70.18,69.86,69.95,274194.622
1774643400000,69.94,70.13,69.71,69.76,164538.514
1774645200000,69.77,69.87,69.75,69.85,45483.138
1774647000000,69.84,69.88,69.82,69.84,31661.469
1774648800000,69.83,69.88,69.79,69.81,81054.272
1774650600000,69.81,69.85,69.8,69.85,21448.269
1774652400000,69.85,69.87,69.83,69.85,15999.565
1774654200000,69.86,69.88,69.81,69.83,56507.8
1774656000000,69.83,69.87,69.8,69.81,49691.666
1774657800000,69.8,69.86,69.8,69.85,58899.619
1774659600000,69.85,69.85,69.77,69.79,82490.823
1774661400000,69.79,69.83,69.77,69.8,37082.149
1774663200000,69.79,69.83,69.79,69.82,20446.584
1774665000000,69.82,69.83,69.81,69.83,6437.784
1774666800000,69.83,69.85,69.82,69.85,11826.152
1774668600000,69.84,69.87,69.81,69.86,76974.265
1774670400000,69.86,69.86,69.82,69.85,35857.262
1774672200000,69.84,69.85,69.84,69.85,3740.788
1774674000000,69.84,69.85,69.83,69.85,6713.433
1774675800000,69.85,69.87,69.84,69.86,18500.57
1774677600000,69.85,69.88,69.85,69.88,26695.983
1774679400000,69.87,69.88,69.86,69.88,3908.473
1774681200000,69.88,69.88,69.86,69.87,6004.257
1774683000000,69.87,69.87,69.85,69.86,8925.793
1774684800000,69.86,69.87,69.85,69.87,8766.008
1774686600000,69.86,69.87,69.86,69.87,6796.786
1774688400000,69.87,69.88,69.86,69.87,13068.325
1774690200000,69.88,69.88,69.85,69.86,14407.57
1774692000000,69.86,69.86,69.85,69.85,4917.115
1774693800000,69.85,69.86,69.85,69.86,2585.888
1774695600000,69.86,69.86,69.85,69.86,2244.309
1774697400000,69.86,69.86,69.85,69.86,2503.264
1774699200000,69.86,69.86,69.85,69.86,6473.205
1774701000000,69.86,69.86,69.85,69.86,4195.001
1774702800000,69.86,69.86,69.85,69.85,4669.776
1774704600000,69.86,69.87,69.85,69.87,45880.091
1774706400000,69.86,69.87,69.85,69.87,11524.812
1774708200000,69.86,69.87,69.85,69.85,9715.205
1774710000000,69.86,69.87,69.85,69.87,18313.084
1774711800000,69.86,69.87,69.84,69.84,18302.426
1774713600000,69.84,69.86,69.84,69.85,11783.433
1774715400000,69.85,69.86,69.84,69.85,9247.744
1774717200000,69.85,69.86,69.84,69.86,4306.225
1774719000000,69.86,69.86,69.85,69.86,5620.629
1774720800000,69.86,69.87,69.85,69.87,4486.083
1774722600000,69.87,69.87,69.86,69.87,3474.391
1774724400000,69.86,69.87,69.86,69.87,2001.271
1774726200000,69.87,69.87,69.85,69.86,5507.798
1774728000000,69.86,69.87,69.85,69.85,6346.103
1774729800000,69.85,69.86,69.85,69.86,1551.128
1774731600000,69.85,69.86,69.85,69.86,2509.179
1774733400000,69.86,69.87,69.85,69.85,15137.992
1774735200000,69.87,69.87,69.84,69.86,24055.235
1774737000000,69.85,69.86,69.85,69.86,6804.673
1774738800000,69.86,69.86,69.84,69.85,8708.061
1774740600000,69.84,69.85,69.84,69.85,7309.175
1774742400000,69.84,69.86,69.84,69.86,8730.045
1774744200000,69.86,69.86,69.85,69.86,5605.432
1774746000000,69.85,69.86,69.84,69.84,7422.171
1774747800000,69.85,69.86,69.84,69.86,6994.085
