model,count,valid_outcome_count,skipped_outcome_count,long_count,short_count,avg_mfe_r,median_mfe_r,avg_mae_r,median_mae_r,hit_0_5r_rate,hit_1r_rate,hit_2r_rate,invalidation_rate,hit_1r_before_invalidation_rate,hit_2r_before_invalidation_rate,avg_score,best_symbol,best_timeframe
Entry Model 1,667,618,49,382,285,2.151696,1.221309,1.950258,0.921141,0.752427,0.566343,0.331715,0.517241,0.475728,0.268608,3.670165,ETHUSDT,30m
Entry Model 2,685,604,81,410,275,2.673317,1.403879,2.077933,1.036769,0.80298,0.60596,0.377483,0.582482,0.478477,0.266556,3.875912,SOLUSDT,30m
Entry Model 3,88,80,8,47,41,9.254832,5.619318,10.742852,7.152893,0.8375,0.7875,0.6875,0.886364,0.5125,0.425,3.852273,ETHUSDT,1h
