model,symbol,count,valid_outcome_count,skipped_outcome_count,long_count,short_count,avg_mfe_r,median_mfe_r,avg_mae_r,median_mae_r,hit_0_5r_rate,hit_1r_rate,hit_2r_rate,invalidation_rate,hit_1r_before_invalidation_rate,hit_2r_before_invalidation_rate,avg_score,best_symbol,best_timeframe
Entry Model 1,BTCUSDT,219,205,14,131,88,2.095843,1.152187,1.858606,1.127544,0.75122,0.546341,0.302439,0.56621,0.463415,0.253659,3.721461,BTCUSDT,4h
Entry Model 1,ETHUSDT,217,196,21,129,88,2.40586,1.353244,2.17129,0.820135,0.765306,0.591837,0.372449,0.474654,0.494898,0.311224,3.645161,ETHUSDT,30m
Entry Model 1,SOLUSDT,231,217,14,122,109,1.974893,1.196995,1.837199,0.883347,0.741935,0.562212,0.322581,0.510823,0.470046,0.24424,3.645022,SOLUSDT,4h
Entry Model 2,BTCUSDT,221,193,28,136,85,2.191348,1.40969,1.997882,1.030776,0.823834,0.611399,0.336788,0.574661,0.523316,0.290155,3.936652,BTCUSDT,30m
Entry Model 2,ETHUSDT,220,193,27,138,82,2.328326,1.291385,2.009456,1.232213,0.761658,0.569948,0.357513,0.595455,0.445596,0.238342,3.904545,ETHUSDT,30m
Entry Model 2,SOLUSDT,244,218,26,136,108,3.40544,1.541366,2.209429,1.024242,0.821101,0.633028,0.431193,0.577869,0.46789,0.270642,3.795082,SOLUSDT,4h
Entry Model 3,BTCUSDT,28,25,3,25,3,10.150418,5.693182,9.003941,7.845182,0.84,0.76,0.6,0.821429,0.52,0.44,4.142857,BTCUSDT,1h
Entry Model 3,ETHUSDT,25,25,0,14,11,11.319597,6.4453,11.399747,5.407229,0.92,0.88,0.8,0.92,0.6,0.56,3.56,ETHUSDT,1h
Entry Model 3,SOLUSDT,35,30,5,8,27,6.787872,5.294004,11.644533,8.35,0.766667,0.733333,0.666667,0.914286,0.433333,0.3,3.828571,SOLUSDT,1h
