model,direction,count,valid_outcome_count,skipped_outcome_count,long_count,short_count,avg_mfe_r,median_mfe_r,avg_mae_r,median_mae_r,hit_0_5r_rate,hit_1r_rate,hit_2r_rate,invalidation_rate,hit_1r_before_invalidation_rate,hit_2r_before_invalidation_rate,avg_score,best_symbol,best_timeframe
Entry Model 1,long,382,360,22,382,0,2.077507,1.293247,1.649264,0.832572,0.769444,0.586111,0.344444,0.486911,0.491667,0.280556,3.908377,ETHUSDT,30m
Entry Model 1,short,285,258,27,0,285,2.255216,1.126726,2.370248,1.066968,0.728682,0.53876,0.313953,0.557895,0.453488,0.251938,3.350877,ETHUSDT,4h
Entry Model 2,long,410,360,50,410,0,2.590914,1.556648,1.853871,0.917895,0.836111,0.644444,0.394444,0.543902,0.522222,0.294444,4.141463,SOLUSDT,30m
Entry Model 2,short,275,244,31,0,275,2.794895,1.278035,2.408517,1.314291,0.754098,0.54918,0.352459,0.64,0.413934,0.22541,3.48,SOLUSDT,4h
Entry Model 3,long,47,43,4,47,0,11.733497,5.75,12.630792,8.618352,0.837209,0.767442,0.697674,0.851064,0.511628,0.465116,4.06383,ETHUSDT,1h
Entry Model 3,short,41,37,4,0,41,6.374221,4.0,8.54876,5.465364,0.837838,0.810811,0.675676,0.926829,0.513514,0.378378,3.609756,SOLUSDT,1h
