model,displacement,count,valid_outcome_count,skipped_outcome_count,long_count,short_count,avg_mfe_r,median_mfe_r,avg_mae_r,median_mae_r,hit_0_5r_rate,hit_1r_rate,hit_2r_rate,invalidation_rate,hit_1r_before_invalidation_rate,hit_2r_before_invalidation_rate,avg_score,best_symbol,best_timeframe
Entry Model 1,has_displacement,422,403,19,249,173,2.272486,1.311787,2.11226,0.843931,0.789082,0.600496,0.337469,0.473934,0.51861,0.280397,3.85782,ETHUSDT,30m
Entry Model 1,weak_or_none,245,215,30,133,112,1.925284,1.006203,1.646597,1.079624,0.683721,0.502326,0.32093,0.591837,0.395349,0.246512,3.346939,SOLUSDT,4h
Entry Model 2,has_displacement,685,604,81,410,275,2.673317,1.403879,2.077933,1.036769,0.80298,0.60596,0.377483,0.582482,0.478477,0.266556,3.875912,SOLUSDT,30m
Entry Model 3,has_displacement,67,60,7,39,28,9.040824,5.225527,11.790852,9.692821,0.833333,0.766667,0.666667,0.925373,0.466667,0.383333,4.0,ETHUSDT,1h
Entry Model 3,weak_or_none,21,20,1,8,13,9.896855,7.710541,7.598854,3.421907,0.85,0.85,0.75,0.761905,0.65,0.55,3.380952,BTCUSDT,1h
