model,htf_bias,count,valid_outcome_count,skipped_outcome_count,long_count,short_count,avg_mfe_r,median_mfe_r,avg_mae_r,median_mae_r,hit_0_5r_rate,hit_1r_rate,hit_2r_rate,invalidation_rate,hit_1r_before_invalidation_rate,hit_2r_before_invalidation_rate,avg_score,best_symbol,best_timeframe
Entry Model 1,bearish,15,15,0,0,15,1.968249,1.308108,2.418688,2.076087,0.8,0.533333,0.4,0.733333,0.333333,0.2,4.6,BTCUSDT,5m
Entry Model 1,bullish,32,32,0,32,0,1.178869,0.915093,3.47607,2.206022,0.65625,0.375,0.25,0.6875,0.34375,0.21875,4.46875,BTCUSDT,15m
Entry Model 1,neutral,2,2,0,0,2,4.045222,4.045222,0.453715,0.453715,1.0,1.0,1.0,0.0,1.0,1.0,3.5,BTCUSDT,5m
Entry Model 2,bearish,8,8,0,0,8,0.593668,0.192971,3.124424,2.800773,0.375,0.25,0.125,0.75,0.125,0.125,4.875,BTCUSDT,5m
Entry Model 2,bullish,48,44,4,48,0,1.7271,1.043594,3.215783,2.031189,0.795455,0.522727,0.340909,0.645833,0.477273,0.295455,4.604167,BTCUSDT,15m
Entry Model 2,neutral,5,5,0,0,5,2.776662,1.800312,0.667885,0.867769,1.0,0.6,0.4,0.0,0.6,0.4,4.0,BTCUSDT,5m
Entry Model 3,bearish,2,2,0,0,2,1.355203,1.355203,2.06844,2.06844,1.0,1.0,0.0,1.0,0.5,0.0,4.0,BTCUSDT,5m
Entry Model 3,bullish,5,4,1,5,0,2.937839,2.21795,11.577303,7.41937,1.0,0.75,0.5,0.8,0.5,0.5,4.6,BTCUSDT,15m
