model,fvg_status,count,valid_outcome_count,skipped_outcome_count,long_count,short_count,avg_mfe_r,median_mfe_r,avg_mae_r,median_mae_r,hit_0_5r_rate,hit_1r_rate,hit_2r_rate,invalidation_rate,hit_1r_before_invalidation_rate,hit_2r_before_invalidation_rate,avg_score,best_symbol,best_timeframe
Entry Model 1,filled,6,6,0,5,1,1.801959,0.581429,3.787314,3.354065,0.5,0.333333,0.333333,1.0,0.166667,0.166667,4.333333,BTCUSDT,5m
Entry Model 1,open,33,33,0,22,11,1.585457,0.930727,2.210629,1.557763,0.757576,0.454545,0.333333,0.575758,0.393939,0.272727,4.393939,BTCUSDT,5m
Entry Model 1,partially_filled,10,10,0,5,5,1.220615,0.971086,5.274735,3.552583,0.7,0.5,0.3,0.8,0.4,0.2,4.8,BTCUSDT,15m
Entry Model 2,unknown,61,57,4,48,13,1.660089,0.954858,2.979461,1.793522,0.754386,0.491228,0.315789,0.606557,0.438596,0.280702,4.590164,BTCUSDT,15m
Entry Model 3,filled,4,4,0,4,0,2.937839,2.21795,11.577303,7.41937,1.0,0.75,0.5,0.75,0.5,0.5,4.75,BTCUSDT,15m
Entry Model 3,partially_filled,3,2,1,1,2,1.355203,1.355203,2.06844,2.06844,1.0,1.0,0.0,1.0,0.5,0.0,4.0,BTCUSDT,5m
