model,displacement,count,valid_outcome_count,skipped_outcome_count,long_count,short_count,avg_mfe_r,median_mfe_r,avg_mae_r,median_mae_r,hit_0_5r_rate,hit_1r_rate,hit_2r_rate,invalidation_rate,hit_1r_before_invalidation_rate,hit_2r_before_invalidation_rate,avg_score,best_symbol,best_timeframe
Entry Model 3,has_displacement,15,12,3,15,0,4.580708,5.550841,10.014727,8.52509,0.916667,0.833333,0.75,0.933333,0.416667,0.416667,4.533333,ETHUSDT,30m
Entry Model 3,weak_or_none,8,6,2,6,2,18.088105,15.415965,2.522201,1.391771,1.0,1.0,0.666667,0.625,0.833333,0.666667,3.625,BTCUSDT,1h
