model,score_bucket,count,valid_outcome_count,skipped_outcome_count,long_count,short_count,avg_mfe_r,median_mfe_r,avg_mae_r,median_mae_r,hit_0_5r_rate,hit_1r_rate,hit_2r_rate,invalidation_rate,hit_1r_before_invalidation_rate,hit_2r_before_invalidation_rate,avg_score,best_symbol,best_timeframe
Entry Model 3,high,19,17,2,17,2,6.897008,5.693182,7.921101,4.818425,0.941176,0.882353,0.705882,0.842105,0.529412,0.470588,4.473684,BTCUSDT,1h
Entry Model 3,medium,4,1,3,4,0,46.24799,46.24799,0.651206,0.651206,1.0,1.0,1.0,0.75,1.0,1.0,3.0,BTCUSDT,1h
