model,symbol,count,valid_outcome_count,skipped_outcome_count,long_count,short_count,avg_mfe_r,median_mfe_r,avg_mae_r,median_mae_r,hit_0_5r_rate,hit_1r_rate,hit_2r_rate,invalidation_rate,hit_1r_before_invalidation_rate,hit_2r_before_invalidation_rate,avg_score,best_symbol,best_timeframe
Entry Model 1,BTCUSDT,686,616,70,318,368,2.145069,1.218619,2.106888,1.140368,0.806818,0.574675,0.347403,0.591837,0.470779,0.251623,3.342566,BTCUSDT,4h
Entry Model 1,ETHUSDT,650,577,73,306,344,2.489708,1.354371,2.401276,1.043691,0.788562,0.592721,0.363951,0.555385,0.500867,0.289428,3.283077,ETHUSDT,1h
Entry Model 1,SOLUSDT,619,556,63,313,306,2.604948,1.221309,2.047641,1.050334,0.780576,0.561151,0.347122,0.57189,0.476619,0.278777,3.329564,SOLUSDT,4h
Entry Model 2,BTCUSDT,398,352,46,197,201,2.469756,1.383789,2.282371,1.24893,0.815341,0.610795,0.349432,0.60804,0.519886,0.292614,3.736181,BTCUSDT,15m
Entry Model 2,ETHUSDT,425,375,50,203,222,2.000063,1.11707,2.413943,1.140515,0.762667,0.562667,0.304,0.567059,0.461333,0.216,3.656471,ETHUSDT,30m
Entry Model 2,SOLUSDT,437,400,37,233,204,2.904006,1.39604,3.030598,1.025182,0.8125,0.6125,0.38,0.560641,0.485,0.2575,3.638444,SOLUSDT,4h
Entry Model 3,BTCUSDT,8,6,2,8,0,16.060657,6.656245,8.093035,5.049015,1.0,0.833333,0.833333,1.0,0.5,0.5,3.25,BTCUSDT,1h
Entry Model 3,ETHUSDT,5,5,0,4,1,16.030353,6.4453,5.103472,4.0,1.0,1.0,0.8,1.0,0.4,0.4,3.4,ETHUSDT,1h
Entry Model 3,SOLUSDT,8,6,2,2,6,13.228873,13.43956,10.732299,5.281513,0.833333,0.833333,0.833333,1.0,0.166667,0.0,3.5,SOLUSDT,1h
