model,symbol,count,valid_outcome_count,skipped_outcome_count,long_count,short_count,avg_mfe_r,median_mfe_r,avg_mae_r,median_mae_r,hit_0_5r_rate,hit_1r_rate,hit_2r_rate,invalidation_rate,hit_1r_before_invalidation_rate,hit_2r_before_invalidation_rate,avg_score,best_symbol,best_timeframe
Entry Model 1,BTCUSDT,2844,2481,363,1453,1391,3.4131,1.483368,2.812197,1.224785,0.810963,0.635631,0.385328,0.622714,0.529222,0.29867,3.938115,BTCUSDT,30m
Entry Model 1,ETHUSDT,2686,2398,288,1357,1329,3.043318,1.493139,2.922285,1.108108,0.811927,0.641368,0.393244,0.574088,0.541701,0.310259,3.878258,ETHUSDT,15m
Entry Model 2,BTCUSDT,4808,4100,708,2365,2443,3.407121,1.747197,3.131199,1.619026,0.805854,0.669024,0.45439,0.689268,0.51561,0.316585,4.66223,BTCUSDT,15m
Entry Model 2,ETHUSDT,4557,3973,584,2229,2328,3.478056,1.857613,3.104393,1.592625,0.833375,0.690914,0.472187,0.667544,0.54367,0.346086,4.522273,ETHUSDT,4h
Entry Model 3,BTCUSDT,703,678,25,325,378,32.167988,2.956332,14.141559,2.703699,0.89528,0.809735,0.628319,0.775249,0.551622,0.365782,3.984353,BTCUSDT,30m
Entry Model 3,ETHUSDT,657,624,33,315,342,10.783941,2.708727,6.747915,2.958145,0.873397,0.785256,0.620192,0.748858,0.544872,0.379808,3.872146,ETHUSDT,1h
