model,displacement,count,valid_outcome_count,skipped_outcome_count,long_count,short_count,avg_mfe_r,median_mfe_r,avg_mae_r,median_mae_r,hit_0_5r_rate,hit_1r_rate,hit_2r_rate,invalidation_rate,hit_1r_before_invalidation_rate,hit_2r_before_invalidation_rate,avg_score,best_symbol,best_timeframe
Entry Model 3,has_displacement,14,12,2,14,0,4.580708,5.550841,10.014727,8.52509,0.916667,0.833333,0.75,0.928571,0.416667,0.416667,4.642857,ETHUSDT,30m
Entry Model 3,weak_or_none,7,6,1,5,2,18.088105,15.415965,2.522201,1.391771,1.0,1.0,0.666667,0.571429,0.833333,0.666667,3.714286,BTCUSDT,1h
